"","year","biomass","control.rule","sim"
"398",2030,111752.93172829,"base",1255
"399",2031,75188.4244911445,"base",1255
"400",2032,51900.2545370786,"base",1255
"401",2033,23525.1881201958,"base",1255
"402",2034,15762.0091936974,"base",1255
"403",2035,12500.0626990992,"base",1255
"404",2036,11082.0021176804,"base",1255
"405",2037,16208.5838678676,"base",1255
"406",2038,32700.0409586993,"base",1255
"407",2039,47018.4784407611,"base",1255
"408",2040,43980.0099612599,"base",1255
"409",2041,33794.63959283,"base",1255
"410",2042,27020.1045641224,"base",1255
"411",2043,21711.7789297105,"base",1255
"412",2044,16998.8660912814,"base",1255
"413",2045,15071.5065709552,"base",1255
"414",2046,13001.6985822826,"base",1255
"415",2047,10372.2709923723,"base",1255
"416",2048,8226.86988066576,"base",1255
"417",2049,6374.52853580158,"base",1255
"418",2050,5333.42142219568,"base",1255
"419",2051,5665.89662292256,"base",1255
"420",2052,5408.11672087201,"base",1255
"421",2023,19928.6477762148,"base",2204
"422",2024,22575.1787968422,"base",2204
"423",2025,23596.0718770367,"base",2204
"424",2026,30963.9454543102,"base",2204
"425",2027,37653.984054403,"base",2204
"426",2028,38750.7332061113,"base",2204
"427",2029,31857.0922933668,"base",2204
"428",2030,26269.5595352247,"base",2204
"429",2031,27048.2870023142,"base",2204
"430",2032,26973.64750308,"base",2204
"431",2033,22594.3432135255,"base",2204
"432",2034,25671.4461594244,"base",2204
"433",2035,27885.9061458111,"base",2204
"434",2036,27071.9527368346,"base",2204
"435",2037,24905.0474473404,"base",2204
"436",2038,24335.240162526,"base",2204
"437",2039,23451.6846874869,"base",2204
"438",2040,22184.321704272,"base",2204
"439",2041,40177.0228883094,"base",2204
"440",2042,52569.3130534827,"base",2204
"441",2043,45468.3845215536,"base",2204
"442",2044,35690.412112482,"base",2204
"443",2045,28834.6047230367,"base",2204
"444",2046,25571.5002247016,"base",2204
"445",2047,23369.5981660511,"base",2204
"446",2048,15501.1748255941,"base",2204
"447",2049,13449.4590682103,"base",2204
"448",2050,13554.1187008872,"base",2204
"449",2051,21941.4623206607,"base",2204
"450",2052,25584.8744657955,"base",2204
"451",2023,22632.7390488457,"base",6333
"452",2024,28854.3092104913,"base",6333
"453",2025,35006.9287862311,"base",6333
"454",2026,38670.1092138996,"base",6333
"455",2027,66315.4616775167,"base",6333
"456",2028,119683.073249238,"base",6333
"457",2029,137003.498652128,"base",6333
"458",2030,147248.26404219,"base",6333
"459",2031,143958.053824306,"base",6333
"460",2032,179383.713609566,"base",6333
"461",2033,194338.491257505,"base",6333
"462",2034,160560.348709131,"base",6333
"463",2035,128313.072573323,"base",6333
"464",2036,105419.488997018,"base",6333
"465",2037,86759.4652785028,"base",6333
"466",2038,74572.6719655275,"base",6333
"467",2039,46269.8021082993,"base",6333
"468",2040,31848.2163056007,"base",6333
"469",2041,26826.6972546855,"base",6333
"470",2042,32751.6688144883,"base",6333
"471",2043,34260.3280459239,"base",6333
"472",2044,30826.2640650629,"base",6333
"473",2045,27054.0528408604,"base",6333
"474",2046,24045.5616264989,"base",6333
"475",2047,22882.8962805252,"base",6333
"476",2048,26048.7155882643,"base",6333
"477",2049,26655.7440510453,"base",6333
"478",2050,23491.1321365965,"base",6333
"479",2051,22421.4445594637,"base",6333
"480",2052,23359.3163144142,"base",6333
"481",2023,18655.3109462288,"base",6940
"482",2024,19043.4055705545,"base",6940
"483",2025,18504.6145063844,"base",6940
"484",2026,20367.5737995653,"base",6940
"485",2027,43418.7896576499,"base",6940
"486",2028,51532.1266829634,"base",6940
"487",2029,37627.1526460522,"base",6940
"488",2030,35837.2410433581,"base",6940
"489",2031,43440.4729718835,"base",6940
"490",2032,36206.0167573291,"base",6940
"491",2033,87277.1153548949,"base",6940
"492",2034,185064.690453228,"base",6940
"493",2035,185990.941252874,"base",6940
"494",2036,148168.189793365,"base",6940
"495",2037,118868.427292393,"base",6940
"496",2038,89822.0237691683,"base",6940
"497",2039,63495.4805406852,"base",6940
"498",2040,43398.4124841551,"base",6940
"499",2041,39344.4994581754,"base",6940
"500",2042,38775.2968762285,"base",6940
"501",2043,29258.7318668503,"base",6940
"502",2044,27520.6305071447,"base",6940
"503",2045,28412.2592529658,"base",6940
"504",2046,27248.7667322969,"base",6940
"505",2047,23519.0664273917,"base",6940
"506",2048,18756.5877204613,"base",6940
"507",2049,14969.3302674296,"base",6940
"508",2050,12917.4096485006,"base",6940
"509",2051,10440.3886421391,"base",6940
"510",2052,10815.6550100877,"base",6940
"511",2023,27418.9059444683,"base",6419
"512",2024,31237.70020169,"base",6419
"513",2025,33275.1917648531,"base",6419
"514",2026,32664.2165315852,"base",6419
"515",2027,45949.6921328477,"base",6419
"516",2028,60208.4206119935,"base",6419
"517",2029,73066.4854204018,"base",6419
"518",2030,78991.281304259,"base",6419
"519",2031,62703.5519656237,"base",6419
"520",2032,70841.9612234633,"base",6419
"521",2033,83045.7872271736,"base",6419
"522",2034,68878.3121359601,"base",6419
"523",2035,59326.1170268182,"base",6419
"524",2036,44047.5338699486,"base",6419
"525",2037,38587.3811894947,"base",6419
"526",2038,40651.6490024256,"base",6419
"527",2039,49954.8538975399,"base",6419
"528",2040,62279.5776480912,"base",6419
"529",2041,61272.485286553,"base",6419
"530",2042,51160.6329317834,"base",6419
"531",2043,38957.6126832647,"base",6419
"532",2044,34667.3905912624,"base",6419
"533",2045,35746.6647888851,"base",6419
"534",2046,30639.0074009697,"base",6419
"535",2047,27265.8039614338,"base",6419
"536",2048,25212.4177660112,"base",6419
"537",2049,33169.1441058797,"base",6419
"538",2050,43272.4063451554,"base",6419
"539",2051,37380.7022943371,"base",6419
"540",2052,29905.9178817904,"base",6419
"541",2023,19172.1302316007,"base",6162
"542",2024,16475.6190151339,"base",6162
"543",2025,15402.9559352423,"base",6162
"544",2026,16346.2149972506,"base",6162
"545",2027,19919.8524698974,"base",6162
"546",2028,18317.3173531582,"base",6162
"547",2029,14486.3516960388,"base",6162
"548",2030,36731.2870070887,"base",6162
"549",2031,65608.2963627658,"base",6162
"550",2032,51438.2962850259,"base",6162
"551",2033,38440.5490146607,"base",6162
"552",2034,29864.1020702472,"base",6162
"553",2035,30336.59950081,"base",6162
"554",2036,30980.9736056836,"base",6162
"555",2037,24895.5963705084,"base",6162
"556",2038,18696.5053790658,"base",6162
"557",2039,15122.1182833344,"base",6162
"558",2040,11909.5113671854,"base",6162
"559",2041,76786.1684190406,"base",6162
"560",2042,94447.7960162472,"base",6162
"561",2043,62603.7087519292,"base",6162
"562",2044,47200.0220164733,"base",6162
"563",2045,35444.1657098457,"base",6162
"564",2046,25245.9594488708,"base",6162
"565",2047,19818.4056771345,"base",6162
"566",2048,12689.5288950447,"base",6162
"567",2049,23768.9569551333,"base",6162
"568",2050,29220.2234558573,"base",6162
"569",2051,28438.158073871,"base",6162
"570",2052,25487.7708369369,"base",6162
"571",2023,16694.0637097739,"base",9752
"572",2024,20071.6878484835,"base",9752
"573",2025,21238.2091112695,"base",9752
"574",2026,21170.2066226549,"base",9752
"575",2027,21613.2078776423,"base",9752
"576",2028,26925.1645885219,"base",9752
"577",2029,27993.1117531402,"base",9752
"578",2030,46622.521774116,"base",9752
"579",2031,60535.0937850934,"base",9752
"580",2032,50899.7340119413,"base",9752
"581",2033,53188.5502811726,"base",9752
"582",2034,48985.5596826582,"base",9752
"583",2035,38610.1982676916,"base",9752
"584",2036,31601.7622842984,"base",9752
